Address,Score,Strict Same TX,NB TX,Sybil,Chain From First,Chain To First,Date First,Protocol First,Chain From Last,Chain To Last,Date Last,Protocol Last
0xa2c1d50fe992a1f21fd849ab5198aa0a5d2d3d63,57.82,7,113,false,BNB Chain,Harmony,2023-05-31 20:59:48.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 21:51:32.000,Merkly
0x7e345edbb8082de7eaf383ad3ec88a7ae923bd9f,75.25,13,110,false,BNB Chain,Harmony,2023-05-31 21:00:51.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:40:59.000,Merkly
0xd032132683cab2e3dda7a882d9692c71ac030048,86.32,16,100,false,BNB Chain,Harmony,2023-05-31 21:01:54.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:37:49.000,Merkly
0x3afc3c03c14a19ab2a8a27d60a27d4a8f9cf7715,87.06,11,101,false,BNB Chain,Harmony,2023-05-31 21:02:57.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 00:05:29.000,Merkly
0xf0db525a754bfba82f9500f26e0cdf64af69dfe2,43.36,11,90,false,BNB Chain,Harmony,2023-05-31 21:06:48.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 12:45:46.000,Merkly
0xea37125168ecae766a6c7dfd0a2ac7f39201272c,84.07,10,96,false,BNB Chain,Harmony,2023-05-31 21:07:51.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 14:35:52.000,Merkly
0xec34c12cc1c789c8780dfc93bdd264e4c5e0401c,64.31,6,115,false,BNB Chain,Harmony,2023-05-31 21:11:00.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 14:13:02.000,Merkly
0x7e5df15ec90d2b4cc75d8159e5b4e31da74b6c83,88.16,11,101,false,BNB Chain,Harmony,2023-05-31 21:13:06.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:43:24.000,Merkly
0xffe5a8bc96534697acb6db0cd833bcec2b479703,78.31,7,111,false,BNB Chain,Harmony,2023-05-31 21:15:27.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:03:42.000,Merkly
0x63cc6ee6e130761815fb6812f66b67ca2a06cab6,69.09,9,107,false,BNB Chain,Harmony,2023-05-31 21:18:36.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 01:42:51.000,Merkly
0x958d326f2373f5c0ebe92d03309bbbb4a88c5a1a,64.24,11,115,false,BNB Chain,Harmony,2023-05-31 21:25:42.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 16:02:23.000,Merkly
0xd4fb43474ee435c32989b82f13941a98ce7183d0,86.27,15,96,false,BNB Chain,Harmony,2023-05-31 21:26:45.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 14:56:31.000,Merkly
0x5e8bff066291b82594380029c110f310dc3246f3,88.92,14,101,false,BNB Chain,Harmony,2023-05-31 21:27:48.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 18:42:57.000,Merkly
0xd49009046bd2a14ddcddfb20a423e6cde0689b69,88.24,13,100,false,BNB Chain,Harmony,2023-05-31 21:28:51.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 01:02:21.000,Merkly
0x08b6ae51b417766c9ce8cce8c0dbef331c0c019a,87.11,10,102,false,BNB Chain,Harmony,2023-05-31 21:29:54.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:31:29.000,Merkly
